name,url,created_at,updated_at
Categoria 56086,url_69828,2020-01-06 19:55:24,2020-01-06 19:55:24
Categoria 56327,url_81244,2020-01-06 19:55:26,2020-01-06 19:55:26
Categoria 56941,url_76484,2020-01-06 19:55:24,2020-01-06 19:55:24
Categoria 59208,url_75670,2020-01-06 19:55:24,2020-01-06 19:55:24
Categoria 62712,url_98254,2020-01-06 19:55:24,2020-01-06 19:55:24
Categoria 65162,url_94121,2020-01-06 19:55:28,2020-01-06 19:55:28
Categoria 67175,url_78383,2020-01-06 19:55:24,2020-01-06 19:55:24
Categoria 69722,url_85287,2020-01-06 19:55:26,2020-01-06 19:55:26
Categoria 70479,url_92549,2020-01-06 19:55:27,2020-01-06 19:55:27
Categoria 70585,url_90912,2020-01-06 19:55:26,2020-01-06 19:55:26
